대분류	중분류	Advertiser	Brand	광고목적	Device	Media	Category	Product	Period	date	Imp	click	cost	conversion	Creative	layout	background	object	button	Shape	benefit	keytopic	keyword	trigger	adcopy
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-08-17	1990968	1177	499825			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-08-18	2048172	1208	489913			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-08-19	1805474	1380	493974			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-08-20	1637467	1519	495265			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-08-21	2331264	1780	534414			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-08-22	2372077	1707	530595			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-08-23	2433152	1582	520703			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-08-24	2952552	1593	506729			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-08-25	2085587	1358	455344			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-08-26	1640836	1477	473240			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-08-28	2429144	1439	510118			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-08-29	2011962	1403	513836			좌우	단색_어두운색	일러스트	없음	가로형		상품	참여	Persuasive	Attention
