대분류	중분류	Advertiser	Brand	광고목적	Device	Media 	Category	Product	Period	date	 Imp 	 click 	 cost 	conversion	Creative	layout	background	object	button	Shape	benefit	key topic	keyword	trigger	ad copy
자동차 및 수송기기	전문 서비스	르노삼성	르노삼성	구매전환	PC	네이버	배너광고	롤링보드(기본형)	2018/1/8~2018/1/28	2018-01-08	288104	75	65214 			좌측	단색_밝은색	실사		가로형	경품	제품브랜드강조	경품	혜택	주목
자동차 및 수송기기	전문 서비스	르노삼성	르노삼성	구매전환	PC	네이버	배너광고	롤링보드(기본형)	2018/1/8~2018/1/28	2018-01-09	431483	109	94778 			좌측	단색_밝은색	실사		가로형	경품	제품브랜드강조	경품	혜택	주목
자동차 및 수송기기	전문 서비스	르노삼성	르노삼성	구매전환	PC	네이버	배너광고	롤링보드(기본형)	2018/1/8~2018/1/28	2018-01-10	437693	121	105213 			좌측	단색_밝은색	실사		가로형	경품	제품브랜드강조	경품	혜택	주목
자동차 및 수송기기	전문 서비스	르노삼성	르노삼성	구매전환	PC	네이버	배너광고	롤링보드(기본형)	2018/1/8~2018/1/28	2018-01-11	414463	112	97387 			좌측	단색_밝은색	실사		가로형	경품	제품브랜드강조	경품	혜택	주목
자동차 및 수송기기	전문 서비스	르노삼성	르노삼성	구매전환	PC	네이버	배너광고	롤링보드(기본형)	2018/1/8~2018/1/28	2018-01-12	366474	118	102604 			좌측	단색_밝은색	실사		가로형	경품	제품브랜드강조	경품	혜택	주목
자동차 및 수송기기	전문 서비스	르노삼성	르노삼성	구매전환	PC	네이버	배너광고	롤링보드(기본형)	2018/1/8~2018/1/28	2018-01-13	211406	63	54780 			좌측	단색_밝은색	실사		가로형	경품	제품브랜드강조	경품	혜택	주목
자동차 및 수송기기	전문 서비스	르노삼성	르노삼성	구매전환	PC	네이버	배너광고	롤링보드(기본형)	2018/1/8~2018/1/28	2018-01-14	246125	72	62606 			좌측	단색_밝은색	실사		가로형	경품	제품브랜드강조	경품	혜택	주목
자동차 및 수송기기	전문 서비스	르노삼성	르노삼성	구매전환	PC	네이버	배너광고	롤링보드(기본형)	2018/1/8~2018/1/28	2018-01-15	380139	89	77388 			좌측	단색_밝은색	실사		가로형	경품	제품브랜드강조	경품	혜택	주목
자동차 및 수송기기	전문 서비스	르노삼성	르노삼성	구매전환	PC	네이버	배너광고	롤링보드(기본형)	2018/1/8~2018/1/28	2018-01-16	289732	89	77388 			좌측	단색_밝은색	실사		가로형	경품	제품브랜드강조	경품	혜택	주목
자동차 및 수송기기	전문 서비스	르노삼성	르노삼성	구매전환	PC	네이버	배너광고	롤링보드(기본형)	2018/1/8~2018/1/28	2018-01-17	204566	63	54780 			좌측	단색_밝은색	실사		가로형	경품	제품브랜드강조	경품	혜택	주목
