대분류	중분류	Advertiser	Brand	광고목적	Device	Media 	Category	Product	Period	date	Imp	click	cost	conversion	Creative	layout	background	object	button	Shape	benefit	key topic	keyword	trigger	ad copy
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-08-17	1990968	1177	499825			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-08-18	2048172	1208	489913			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-08-19	1805474	1380	493974			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-08-20	1637467	1519	495265			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-08-21	2331264	1780	534414			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-08-22	2372077	1707	530595			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-08-23	2433152	1582	520703			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-08-24	2952552	1593	506729			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-08-25	2085587	1358	455344			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-08-26	1640836	1477	473240			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-08-28	2429144	1439	510118			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-08-29	2011962	1403	513836			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-08-30	2250865	1367	511963			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-08-31	2226448	1498	520375			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-09-01	1914875	1442	505278			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-09-02	1815430	1753	487410			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-09-03	2042123	1679	506658			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-09-04	2313542	1498	493361			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-09-05	2960084	1502	526140			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-09-06	2176948	1357	468278			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-09-08	1662177	870	313996			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-09-09	1213223	1031	322123			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-09-10	1464940	1021	330161			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-09-11	1668569	1062	349531			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-09-12	1608265	1015	344524			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-09-13	1838727	1050	348855			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-09-14	1731607	1016	343398			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-09-15	1490624	845	293291			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-09-16	995065	985	301490			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-09-17	1169130	997	303700			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-09-18	1509703	1032	324969			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-09-19	1732827	1143	369791			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-09-20	1502104	1049	339433			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-09-21	1504271	992	331605			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-09-22	1218184	957	310106			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-09-23	989527	1086	314090			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-09-24	1165550	1111	320585			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-09-25	1587086	1031	331099			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-09-26	1534257	972	330714			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-09-27	1290755	1043	327045			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-09-28	1310238	978	325540			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-09-29	1395244	981	310429			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-09-30	838604	962	299369			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-10-01	1346459	1181	306681			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-10-02	1666658	1280	314320			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-10-03	1493034	1135	319510			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-10-04	1295905	1177	315540			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-10-05	1439527	1155	317385			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-10-06	1642256	1150	313036			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-10-07	1386241	1052	313696			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-10-08	1438810	1085	314784			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-10-09	1516382	1108	316361			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-10-10	2051277	952	315766			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-10-11	1534873	875	312634			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-10-12	1184306	642	217515			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-10-13	915014	623	211336			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-10-14	783710	723	209793			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-10-15	936663	762	212440			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-10-16	1196283	646	205669			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-10-17	1191843	642	204533			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-10-18	1158029	586	201708			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-10-19	983595	577	198811			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-10-20	1014747	575	193459			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-10-21	681611	635	193929			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-10-22	999040	735	196291			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-10-23	1140301	640	206378			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-10-24	988484	592	200396			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-10-25	901791	623	202875			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
게임	RPG(PC)	와일드스톤	나루토온라인	앱설치	PC	구글	배너광고	GDN	2017/8/17~2018/1/31	2017-10-26	997330	629	204366			좌우	단색_어두운색	일러스트	없음	가로형	없음	나루토온라인	앱설치유도	User Persuasive Text	Attention
